direction,title,year,authors,venue,doi,url,citation_count,abstract,relevance_reason_cn,possible_inspiration_for_my_project_cn
C,"Extrusion-based additive manufacturing with cement-based materials – Production steps, processes, and their underlying physics: A review",2020,Viktor Mechtcherine; Freek Bos; Arnaud Perrot; W.R. Leal da Silva; Venkatesh Naidu Nerella; Shirin Fataei; Rob Wolfs; Mohammed Sonebi; Nicolas Roussel,Cement and Concrete Research,10.1016/j.cemconres.2020.106037,https://doi.org/10.1016/j.cemconres.2020.106037,546,"This article offers a comprehensive overview of the underlying physics relevant to an understanding of materials processing during the various production steps in extrusion-based 3D concrete printing (3DCP). Understanding the physics governing the processes is an important step towards the purposeful design and optimization of 3DCP systems as well as their efficient and robust process control. For some processes, analytical formulas based on the relevant physics have already enabled reasonable predictions with respect to material flow behavior and buildability, especially in the case of relatively simple geometries. The existing research in the field was systematically compiled by the authors in the framework of the activities of the RILEM Technical Committee 276 “Digital fabrication with cement-based materials”. However, further research is needed to develop reliable tools for the quantitative analysis of the entire process chain. To achieve this, experimental efforts for the characterization of material properties need to go hand in hand with comprehensive numerical simulation.",相关：命中主题关键词：cement、concrete、cement hydration,"可用于方向 C 的问题定位：结合 2020 年论文《Extrusion-based additive manufacturing with cement-based materials – Production steps, processes, and their underlying physics: A review》的题录和引用数 546，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。"
C,Improving printability of limestone-calcined clay-based cementitious materials by using viscosity-modifying admixture,2020,Yu Chen; Stefan Chaves Figueiredo; Zhenming Li; Ze Chang; Koen Jansen; Oğuzhan Çopuroğlu; Erik Schlangen,Cement and Concrete Research,10.1016/j.cemconres.2020.106040,https://doi.org/10.1016/j.cemconres.2020.106040,283,"In 3D concrete printing (3DCP), it is necessary to meet contradicting rheological requirements: high fluidity during pumping and extrusion, and high stability and viscosity at rest to build the layered structure. In this paper, the impact of the hydroxypropyl methylcellulose (HPMC)-based viscosity-modifying admixture (VMA) on the 3D printability and mechanical performance of a limestone and calcined clay based cementitious material is investigated. A combination of VMA and superplasticizer was used for that purpose. In this case, controlling the competitive effects between VMA and superplasticizer becomes critical. The main strategy for 3D printing in this study was to add an optimal dosage of VMA in the solid suspension that was already mixed with water and superplasticizer. A lab-scale 3DCP setup was developed and demonstrated as well. A series of tests was performed to characterize the effects of VMA on flowability, extrudability, open time, buildability, green strength, hydration, compressive strength, and air void content and distribution. Experiments performed in this study showed that the mixture containing 0.24% (of the binder mass) of VMA exhibited satisfactory 3D printability and optimal mechanical performance. Finally, the results, limitations, and perspectives of the current research were discussed.",相关：命中主题关键词：cement、concrete、cementitious,可用于方向 C 的问题定位：结合 2020 年论文《Improving printability of limestone-calcined clay-based cementitious materials by using viscosity-modifying admixture》的题录和引用数 283，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
C,Valorization of sewage sludge in the fabrication of construction and building materials: A review,2019,Zhiyang Chang; Guangcheng Long; John L. Zhou; Cong Ma,Resources Conservation and Recycling,10.1016/j.resconrec.2019.104606,https://doi.org/10.1016/j.resconrec.2019.104606,273,unclear,相关：命中主题关键词：cement、carbonation、slag,可用于方向 C 的问题定位：结合 2019 年论文《Valorization of sewage sludge in the fabrication of construction and building materials: A review》的题录和引用数 273，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
C,Recent advances on yield stress and elasticity of fresh cement-based materials,2019,Nicolas Roussel; Hela Bessaies-Bey; Shiho Kawashima; Delphine Marchon; Ksenija Vasilić; Rob Wolfs,Cement and Concrete Research,10.1016/j.cemconres.2019.105798,https://doi.org/10.1016/j.cemconres.2019.105798,237,unclear,相关：命中主题关键词：cement、concrete,可用于方向 C 的问题定位：结合 2019 年论文《Recent advances on yield stress and elasticity of fresh cement-based materials》的题录和引用数 237，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
C,"Effect of nano-silica particles on the hydration, the rheology and the strength development of a blended cement paste",2018,F. Lavergne; Rachid Belhadi; J. Carriat; Amor Ben Fraj,Cement and Concrete Composites,10.1016/j.cemconcomp.2018.10.007,https://doi.org/10.1016/j.cemconcomp.2018.10.007,200,unclear,相关：命中主题关键词：cement、concrete、cement paste,"可用于方向 C 的问题定位：结合 2018 年论文《Effect of nano-silica particles on the hydration, the rheology and the strength development of a blended cement paste》的题录和引用数 200，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。"
C,"Significance of mechanical loading in bone fracture healing, bone regeneration, and vascularization",2023,Qianli Ma; Zahra Miri; Håvard Jostein Haugen; Amirhossein Moghanian; Dagnjia Loca,Journal of Tissue Engineering,10.1177/20417314231172573,https://doi.org/10.1177/20417314231172573,142,"In 1892, J.L. Wolff proposed that bone could respond to mechanical and biophysical stimuli as a dynamic organ. This theory presents a unique opportunity for investigations on bone and its potential to aid in tissue repair. Routine activities such as exercise or machinery application can exert mechanical loads on bone. Previous research has demonstrated that mechanical loading can affect the differentiation and development of mesenchymal tissue. However, the extent to which mechanical stimulation can help repair or generate bone tissue and the related mechanisms remain unclear. Four key cell types in bone tissue, including osteoblasts, osteoclasts, bone lining cells, and osteocytes, play critical roles in responding to mechanical stimuli, while other cell lineages such as myocytes, platelets, fibroblasts, endothelial cells, and chondrocytes also exhibit mechanosensitivity. Mechanical loading can regulate the biological functions of bone tissue through the mechanosensor of bone cells intraosseously, making it a potential target for fracture healing and bone regeneration. This review aims to clarify these issues and explain bone remodeling, structure dynamics, and mechano-transduction processes in response to mechanical loading. Loading of different magnitudes, frequencies, and types, such as dynamic versus static loads, are analyzed to determine the effects of mechanical stimulation on bone tissue structure and cellular function. Finally, the importance of vascularization in nutrient supply for bone healing and regeneration was further discussed.",相关：命中主题关键词：cement、hypergravity,"可用于方向 C 的问题定位：结合 2023 年论文《Significance of mechanical loading in bone fracture healing, bone regeneration, and vascularization》的题录和引用数 142，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。"
D,Future and emerging supplementary cementitious materials,2023,Ruben Snellings; Prannoy Suraneni; Jørgen Skibsted,Cement and Concrete Research,10.1016/j.cemconres.2023.107199,https://doi.org/10.1016/j.cemconres.2023.107199,484,unclear,相关：命中主题关键词：cement、concrete、cementitious、carbonation、carbonated,可用于方向 D 的问题定位：结合 2023 年论文《Future and emerging supplementary cementitious materials》的题录和引用数 484，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
D,Green construction for low-carbon cities: a review,2023,Lin Chen; Lepeng Huang; Jianmin Hua; Zhonghao Chen; Lilong Wei; Ahmed I. Osman; Samer Fawzy; David W. Rooney; Liang Dong; Pow‐Seng Yap,Environmental Chemistry Letters,10.1007/s10311-022-01544-4,https://doi.org/10.1007/s10311-022-01544-4,304,"Abstract The construction industry is a major user of non-renewable energy and contributor to emission of greenhouse gases, thus requiring to achieve net-zero carbon emissions by 2050. Indeed, construction activities account for 36% of global energy consumption and 39% of global carbon dioxide emissions. Reducing carbon emissions requires adapted government policies, carbon emission analysis and calculation models, and sustainable materials. Here, we review green construction with focus on history, carbon emissions, policies, models, life cycle assessment, and sustainable materials such as biochar, bioplastic, agricultural waste, animal wool, fly ash and self-healing concrete. Analysis of carbon emissions over the building life cycle shows that the construction phase accounts for 20–50% of total carbon emissions. The average ratio of construction phase annual emissions to operation phase emissions is 0.62. We present national policy frameworks and technology roadmaps from the United States of America, Japan, China, and the European Union, highlighting plans to achieve carbon neutrality in the building sector.",相关：命中主题关键词：concrete、carbon dioxide curing,可用于方向 D 的问题定位：结合 2023 年论文《Green construction for low-carbon cities: a review》的题录和引用数 304，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
D,Strategies for mitigation of climate change: a review,2020,Samer Fawzy; Ahmed I. Osman; John Doran; David W. Rooney,Environmental Chemistry Letters,10.1007/s10311-020-01059-w,https://doi.org/10.1007/s10311-020-01059-w,1428,"Abstract Climate change is defined as the shift in climate patterns mainly caused by greenhouse gas emissions from natural systems and human activities. So far, anthropogenic activities have caused about 1.0 °C of global warming above the pre-industrial level and this is likely to reach 1.5 °C between 2030 and 2052 if the current emission rates persist. In 2018, the world encountered 315 cases of natural disasters which are mainly related to the climate. Approximately 68.5 million people were affected, and economic losses amounted to $131.7 billion, of which storms, floods, wildfires and droughts accounted for approximately 93%. Economic losses attributed to wildfires in 2018 alone are almost equal to the collective losses from wildfires incurred over the past decade, which is quite alarming. Furthermore, food, water, health, ecosystem, human habitat and infrastructure have been identified as the most vulnerable sectors under climate attack. In 2015, the Paris agreement was introduced with the main objective of limiting global temperature increase to 2 °C by 2100 and pursuing efforts to limit the increase to 1.5 °C. This article reviews the main strategies for climate change abatement, namely conventional mitigation, negative emissions and radiative forcing geoengineering. Conventional mitigation technologies focus on reducing fossil-based CO 2 emissions. Negative emissions technologies are aiming to capture and sequester atmospheric carbon to reduce carbon dioxide levels. Finally, geoengineering techniques of radiative forcing alter the earth’s radiative energy budget to stabilize or reduce global temperatures. It is evident that conventional mitigation efforts alone are not sufficient to meet the targets stipulated by the Paris agreement; therefore, the utilization of alternative routes appears inevitable. While various technologies presented may still be at an early stage of development, biogenic-based sequestration techniques are to a certain extent mature and can be deployed immediately.",相关：命中主题关键词：concrete、carbonation、mineral carbonation、slag、process intensification,可用于方向 D 的问题定位：结合 2020 年论文《Strategies for mitigation of climate change: a review》的题录和引用数 1428，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
D,The utilization of eco-friendly recycled powder from concrete and brick waste in new concrete: A critical review,2020,Qin Tang; Zhiming Ma; Huixia Wu; Wan Wang,Cement and Concrete Composites,10.1016/j.cemconcomp.2020.103807,https://doi.org/10.1016/j.cemconcomp.2020.103807,504,unclear,相关：命中主题关键词：cement、concrete、cementitious、co2 curing,可用于方向 D 的问题定位：结合 2020 年论文《The utilization of eco-friendly recycled powder from concrete and brick waste in new concrete: A critical review》的题录和引用数 504，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
D,Recent Progress in Green Cement Technology Utilizing Low-Carbon Emission Fuels and Raw Materials: A Review,2019,Ali Naqi; Jeong Gook Jang,Sustainability,10.3390/su11020537,https://doi.org/10.3390/su11020537,386,"The cement industry is facing numerous challenges in the 21st century due to depleting natural fuel resources, shortage of raw materials, exponentially increasing cement demand and climate linked environmental concerns. Every tonne of ordinary Portland cement (OPC) produced releases an equivalent amount of carbon dioxide to the atmosphere. In this regard, cement manufactured from locally available minerals and industrial wastes that can be blended with OPC as substitute, or full replacement with novel clinkers to reduce the energy requirements is strongly desirable. Reduction in energy consumption and carbon emissions during cement manufacturing can be achieved by introducing alternative cements. The potential of alternative cements as a replacement of conventional OPC can only be fully realized through detailed investigation of binder properties with modern technologies. Seven prominent alternative cement types are considered in this study and their current position compared to OPC has been discussed. The study provides a comprehensive analysis of options for future cements, and an up-to-date summary of the different alternative fuels and binders that can be used in cement production to mitigate carbon dioxide emissions. In addition, the practicalities and benefits of producing the low-cost materials to meet the increasing cement demand are discussed.",相关：命中主题关键词：cement、concrete、carbonation,可用于方向 D 的问题定位：结合 2019 年论文《Recent Progress in Green Cement Technology Utilizing Low-Carbon Emission Fuels and Raw Materials: A Review》的题录和引用数 386，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
D,Green remediation of As and Pb contaminated soil using cement-free clay-based stabilization/solidification,2019,Lei Wang; Dong-Wan Cho; Daniel C.W. Tsang; Xinde Cao; Deyi Hou; Zhengtao Shen; Daniel S. Alessi; Yong Sik Ok; Chi Sun Poon,Environment International,10.1016/j.envint.2019.02.057,https://doi.org/10.1016/j.envint.2019.02.057,335,"Stabilization/solidification (S/S) is a low-cost and high-efficiency remediation method for contaminated soils, however, conventional cement-based S/S method has environmental constraints and sustainability concerns. This study proposes a low-carbon, cement-free, clay-based approach for simultaneous S/S of As and Pb in the contaminated soil, and accordingly elucidates the chemical interactions between alkali-activated clay binders and potentially toxic elements. Quantitative X-ray diffraction and 27Al nuclear magnetic resonance analyses indicated that the addition of lime effectively activated the hydration of kaolinite clay, and the presence of limestone further enhanced the polymerization of hydrates. X-ray photoelectron spectroscopy showed that approximately 19% of As[III] was oxidized to As[V] in the alkali-activated clay system, which reduced toxicity and facilitated immobilization of As. During the cement-free S/S process, As and Pb consumed Ca(OH)2 and precipitated as Ca3(AsO4)2·4H2O and Pb3(NO3)(OH)5, respectively, accounting for the low leachability of As (7.0%) and Pb (5.4%). However, the reduced amount of Ca(OH)2 decreased the degree of hydration of clay minerals, and the pH buffering capacity of the contaminated soil hindered the pH increase. Sufficient dosage of lime was required for ensuring satisfactory solidification and contaminant immobilization of the clay-based S/S products. The leachability of As and Pb in high-Ca S/S treated soil samples was reduced by 96.2% and 98.8%, respectively. This is the first study developing a green and cement-free S/S of As- and Pb-contaminated soil using clay minerals as an environmentally compatible binding material.",相关：命中主题关键词：cement、concrete、carbonation、carbon dioxide curing、slag,可用于方向 D 的问题定位：结合 2019 年论文《Green remediation of As and Pb contaminated soil using cement-free clay-based stabilization/solidification》的题录和引用数 335，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
D,Discontinuous micro-fibers as intrinsic reinforcement for ductile Engineered Cementitious Composites (ECC),2020,Duo Zhang; Jing Yu; Haoliang Wu; Beata Jaworska; Brian R. Ellis; Victor C. Li,Composites Part B Engineering,10.1016/j.compositesb.2020.107741,https://doi.org/10.1016/j.compositesb.2020.107741,326,unclear,相关：命中主题关键词：cement、concrete、cementitious、carbonation、co2 curing,可用于方向 D 的问题定位：结合 2020 年论文《Discontinuous micro-fibers as intrinsic reinforcement for ductile Engineered Cementitious Composites (ECC)》的题录和引用数 326，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
D,Effect of carbonation curing regime on strength and microstructure of Portland cement paste,2019,Tiefeng Chen; Xiaojian Gao,unclear,10.1016/j.jcou.2019.05.034,https://www.semanticscholar.org/paper/7e5e83880e954f6c1fef96e4562fe63dbaa4e8be,313,"Abstract This study aims to investigate the effects of pre-curing and carbonation duration on compressive strength and microstructure characteristics of Portland cement paste. Experimental results showed that 30–40% water loss of cement paste is ideal for CO2 uptake. The combination of appropriate pre-curing and carbonation duration could increase compressive strength of cement mortar effectively, especially at early age. The optimal pre-curing duration decreases as the carbonation duration increases. Thermogravimetric analysis indicated that carbonation could retard hydration of cement paste and higher concentration of CO2 increases crystallinity of carbonate. According to MIP results, the influence of hydration and carbonation on pore structure of cement paste is different. Carbonation could decrease large capillary porosity obviously while hydration fills small capillary first. In addition, it is observed from EDS point analysis that excessive carbonation lead to decalcification of C-S-H. Therefore, suitable pre-curing and carbonation duration is of significance to improve the strength and microstructure of cement pastes.",相关：命中主题关键词：cement、carbonation、cement paste,可用于方向 D 的问题定位：结合 2019 年论文《Effect of carbonation curing regime on strength and microstructure of Portland cement paste》的题录和引用数 313，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
D,Biochar as construction materials for achieving carbon neutrality,2022,Yuying Zhang; Mingjing He; Lei Wang; Jianhua Yan; Bin Ma; Xiaohong Zhu; Yong Sik Ok; Viktor Mechtcherine; Daniel C.W. Tsang,Biochar,10.1007/s42773-022-00182-x,https://doi.org/10.1007/s42773-022-00182-x,289,"Abstract Biochar is a waste-derived material that can sequester carbon at a large scale. The development of low-carbon and sustainable biochar-enhanced construction materials has attracted extensive interest. Biochar, having a porous nature and highly functionalised surface, can provide nucleation sites for chemical reactions and exhibit compatibility with cement, asphalt, and polymer materials. This study critically reviewed the state-of-the-art biochar-enhanced construction materials, including biochar-cement composites, biochar-asphalt composites, biochar-plastic composites, etc. The efficacies and mechanisms of biochar as construction materials were articulated to improve their functional properties. This critical review highlighted the roles of biochar in cement hydration, surface functional groups of engineered biochar for promoting chemical reactions, and value-added merits of biochar-enhanced construction materials (such as humidity regulation, thermal insulation, noise reduction, air/water purification, electromagnetic shielding, and self-sensing). The major properties of biochar are correlated to the features and functionalities of biochar-enhanced construction materials. Further advances in our understanding of biochar’s roles in various composites can foster the next-generation design of carbon–neutral construction materials. Graphical Abstract",相关：命中主题关键词：cement、concrete、carbonation、carbon dioxide curing、cement hydration,可用于方向 D 的问题定位：结合 2022 年论文《Biochar as construction materials for achieving carbon neutrality》的题录和引用数 289，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
D,An overview of utilizing CO2 for accelerated carbonation treatment in the concrete industry,2022,Liang Li; Min Wu,Journal of CO2 Utilization,10.1016/j.jcou.2022.102000,https://doi.org/10.1016/j.jcou.2022.102000,258,"Accelerated carbonation treatment as an effective approach of reducing the carbon footprint in the concrete industry is being investigated extensively. Such carbonation treatment converts gaseous CO2 into carbonate minerals (or mineral CO2 sequestration). The present review provided a state-of-the-art summary on the relevant carbonation strategies that have been investigated, with a special focus on identifying the remaining industrial challenges and critical research gaps that need further investigation. Key parameters affecting pre-carbonation treatments of recycled concrete aggregates, fly ash, and slag were examined systematically, including chemical compositions and particle sizes of the materials, temperature, pressure, and CO2 concentration. The CO2 uptake capacity and efficiency of the materials were compared with each other, and the environmental impact of pre-carbonation treatment of fly ash and slag was approximated. After carbonation treatment, the incorporation of those carbonated materials in cement-based composites was assessed. It was found that the rising CO2 uptake of ingredient materials subjected to pre-carbonation treatment does not necessarily benefit the mechanical properties of the cement-based composites with the carbonated materials. For a specific material, there may exist a CO2 uptake threshold over which high CO2 uptake tends to be deleterious, e.g. for the mechanical properties. In terms of the influence of accelerated carbonation curing on the compressive strength of cement-based composites at early ages, both positive and negative influences were identified. Corresponding mechanisms behind such contrary influences were critically discussed. It was noted that over-intensified early-age carbonation curing could compromise the strength properties of cement-based composites both in the short and long terms.",相关：命中主题关键词：cement、concrete、cementitious、carbonation、carbonated,可用于方向 D 的问题定位：结合 2022 年论文《An overview of utilizing CO2 for accelerated carbonation treatment in the concrete industry》的题录和引用数 258，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
E,Future and emerging supplementary cementitious materials,2023,Ruben Snellings; Prannoy Suraneni; Jørgen Skibsted,Cement and Concrete Research,10.1016/j.cemconres.2023.107199,https://doi.org/10.1016/j.cemconres.2023.107199,484,unclear,相关：命中主题关键词：cement、concrete、cementitious、carbonation、carbonated,可用于方向 E 的问题定位：结合 2023 年论文《Future and emerging supplementary cementitious materials》的题录和引用数 484，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
E,"Roles of carbonated recycled fines and aggregates in hydration, microstructure and mechanical properties of concrete: A critical review",2023,Tong Zhang; Meng Chen; Yuting Wang; Mingzhong Zhang,Cement and Concrete Composites,10.1016/j.cemconcomp.2023.104994,https://doi.org/10.1016/j.cemconcomp.2023.104994,170,unclear,相关：命中主题关键词：cement、concrete、cementitious、carbonation、carbonated,"可用于方向 E 的问题定位：结合 2023 年论文《Roles of carbonated recycled fines and aggregates in hydration, microstructure and mechanical properties of concrete: A critical review》的题录和引用数 170，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。"
E,Effects of carbonated hardened cement paste powder on hydration and microstructure of Portland cement,2018,Bao Lu; C. Shi; Jiake Zhang; Jiyun Wang,Construction and Building Materials,10.1016/j.conbuildmat.2018.07.159,https://www.semanticscholar.org/paper/3e5e1a98afaa61c8b895223029da0113c1e9fccb,322,"Abstract Recovering aggregates from recycled concrete produces a large amount of powder, which contains hardened cement paste and is classified as a corrosive hazardous material. This study used CO2 to treat hardened cement paste powder and to investigate how the incorporation of uncarbonated and carbonated hardened cement paste powder into cement affects the hydration and microstructure development of cement. Carbonated hardened cement paste powder consists mainly of calcite and silica gel. Replacement of cement by uncarbonated cement paste powder content from 10 to 30% by the mass of cement decreases, while replacement of cement with 10–20% carbonated hardened cement paste powder increases the strength of cement up to 90 days. The replacement of cement with 30% carbonated waste paste powder slightly decrease the strength of the cement. The silica gel in carbonated hardened cement paste powder quickly reacts with calcium hydroxide and results in the formation of more C-S-H. The presence of calcite in carbonated hardened paste powder leads to the formation of calcium aluminate hemi-carbonate (CAHC) and calcium aluminate mono-carbonate (CAMC) thus to a stabilization of ettringite (AFt) compared with the control cement paste, in which portion of AFt converts to mono-sulphoaluminate. CAHC is less stable than CAMC and transforms to CAMC in about one week after its formation. These chemical actions lead to a lower porosity and a higher compressive strength for cement paste with carbonated hardened paste powder compared with the control cement paste.",相关：命中主题关键词：cement、concrete、carbonated、waste concrete、recycled concrete,可用于方向 E 的问题定位：结合 2018 年论文《Effects of carbonated hardened cement paste powder on hydration and microstructure of Portland cement》的题录和引用数 322，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
E,Carbonation of steel slag and gypsum for building materials and associated reaction mechanisms,2019,Xue Wang; W. Ni; Jiajie Li; Siqi Zhang; M. Hitch; R. Pascual,Cement and Concrete Research,10.1016/j.cemconres.2019.105893,https://www.semanticscholar.org/paper/4150c266dff55cabab491c65948d07a0794308c9,259,"Abstract The carbonation of steel slag to produce building material is a useful way to increase the utilization of steel slag and absorb carbon dioxide. In this study, gypsum, steel slag, and water were mixed, compaction-shaped, and carbonation-cured as a means of improving the strength of the steel slag. It was observed that gypsum promoted an increase in both the compressive strength and the CO2 uptake of steel slag. CO2 uptake was positively correlated with strength. Microanalysis indicated that the main hydration product were C-S-H phases and ettringite, while the main carbonation products were calcite and monocarbonate (C3A. CaCO3.11H2O). Gypsum is speculated to promote the rapid hydration of steel slag to form ettringite (C3A.3CaSO4.32H2O), which then reacts with CO2 to produce monocarbonate; thus, gypsum plays a catalytic role in this system. The results of this study therefore provide theoretical guidance for the preparation of steel slag–gypsum carbide building materials.",相关：命中主题关键词：cement、concrete、carbonation、steel slag、slag,可用于方向 E 的问题定位：结合 2019 年论文《Carbonation of steel slag and gypsum for building materials and associated reaction mechanisms》的题录和引用数 259，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
E,An overview of utilizing CO2 for accelerated carbonation treatment in the concrete industry,2022,Liang Li; Min Wu,Journal of CO2 Utilization,10.1016/j.jcou.2022.102000,https://doi.org/10.1016/j.jcou.2022.102000,258,"Accelerated carbonation treatment as an effective approach of reducing the carbon footprint in the concrete industry is being investigated extensively. Such carbonation treatment converts gaseous CO2 into carbonate minerals (or mineral CO2 sequestration). The present review provided a state-of-the-art summary on the relevant carbonation strategies that have been investigated, with a special focus on identifying the remaining industrial challenges and critical research gaps that need further investigation. Key parameters affecting pre-carbonation treatments of recycled concrete aggregates, fly ash, and slag were examined systematically, including chemical compositions and particle sizes of the materials, temperature, pressure, and CO2 concentration. The CO2 uptake capacity and efficiency of the materials were compared with each other, and the environmental impact of pre-carbonation treatment of fly ash and slag was approximated. After carbonation treatment, the incorporation of those carbonated materials in cement-based composites was assessed. It was found that the rising CO2 uptake of ingredient materials subjected to pre-carbonation treatment does not necessarily benefit the mechanical properties of the cement-based composites with the carbonated materials. For a specific material, there may exist a CO2 uptake threshold over which high CO2 uptake tends to be deleterious, e.g. for the mechanical properties. In terms of the influence of accelerated carbonation curing on the compressive strength of cement-based composites at early ages, both positive and negative influences were identified. Corresponding mechanisms behind such contrary influences were critically discussed. It was noted that over-intensified early-age carbonation curing could compromise the strength properties of cement-based composites both in the short and long terms.",相关：命中主题关键词：cement、concrete、cementitious、carbonation、carbonated,可用于方向 E 的问题定位：结合 2022 年论文《An overview of utilizing CO2 for accelerated carbonation treatment in the concrete industry》的题录和引用数 258，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
E,Experimental characterization of the self-healing capacity of cement based materials and its effects on the material performance: A state of the art report by COST Action SARCOS WG2,2018,Liberato Ferrara; Tim Van Mullem; C. Alonso; Paola Antonaci; Ruben Paul Borg; Estefanía Cuenca; Anthony Jefferson; P.L. Ng; Alva Peled; Marta Roig‐Flores; Mercedes Sanchez; Christof Schroefl; Pedro Serna; Didier Snoeck; Jean‐Marc Tulliani; Nele De Belie,Construction and Building Materials,10.1016/j.conbuildmat.2018.01.143,https://doi.org/10.1016/j.conbuildmat.2018.01.143,246,unclear,相关：命中主题关键词：cement、cementitious、carbonated、steel slag、slag,可用于方向 E 的问题定位：结合 2018 年论文《Experimental characterization of the self-healing capacity of cement based materials and its effects on the material performance: A state of the art report by COST Action SARCOS WG2》的题录和引用数 246，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
E,Carbon Capture and Utilization by mineralization of cement pastes derived from recycled concrete,2020,Jan Skoček; Maciej Zając; Mohsen Ben Haha,Scientific Reports,10.1038/s41598-020-62503-z,https://doi.org/10.1038/s41598-020-62503-z,222,"Abstract Reduction of CO 2 emissions associated with cement production is challenging in view of the increasing cement demand and the fact that major part of the emissions originates from the main raw material used - limestone - which can be only to extremely low amount substituted. A Carbon Capture and Utilization (CCU) approach based on mineralization of fines derived from concrete appears to be a viable alternative to reduce these emissions. The CO 2 sequestration and the reactivity of the obtained carbonated recycled fines is experimentally demonstrated for lab as well as industrial materials for different mineralization conditions. It is shown that all CO 2 originally released by limestone calcination during clinker production can be sequestered by the full carbonation of the fines within a short time. Upon full carbonation, gels with pozzolanic properties form in the fines irrespective of the conditions tested. The carbonated fines have specific CO 2 savings more than 30% higher than the simple clinker replacement by limestone.",相关：命中主题关键词：cement、concrete、cementitious、carbonation、carbonated,可用于方向 E 的问题定位：结合 2020 年论文《Carbon Capture and Utilization by mineralization of cement pastes derived from recycled concrete》的题录和引用数 222，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
E,Carbon sequestration of steel slag and carbonation for activating RO phase,2020,Zhimin Chen; Rui Li; Xianming Zheng; Jiaxiang Liu,Cement and Concrete Research,10.1016/j.cemconres.2020.106271,https://doi.org/10.1016/j.cemconres.2020.106271,193,unclear,相关：命中主题关键词：cement、concrete、carbonation、carbonated、steel slag,可用于方向 E 的问题定位：结合 2020 年论文《Carbon sequestration of steel slag and carbonation for activating RO phase》的题录和引用数 193，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
E,"Accelerated carbonation of steel slag: A review of methods, mechanisms and influencing factors",2023,Xiaoli Huang; Junfei Zhang; Lei Zhang,Construction and Building Materials,10.1016/j.conbuildmat.2023.134603,https://doi.org/10.1016/j.conbuildmat.2023.134603,147,unclear,相关：命中主题关键词：cement、carbonation、carbonated、steel slag、slag,"可用于方向 E 的问题定位：结合 2023 年论文《Accelerated carbonation of steel slag: A review of methods, mechanisms and influencing factors》的题录和引用数 147，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。"
E,Value added utilization of by-product electric furnace ferronickel slag as construction materials: A review,2018,Ashish Kumer Saha; Md. Nabi Newaz Khan; Prabir Kumar Sarker,Resources Conservation and Recycling,10.1016/j.resconrec.2018.02.034,https://doi.org/10.1016/j.resconrec.2018.02.034,185,unclear,相关：命中主题关键词：cement、cementitious、carbonated、steel slag、slag,可用于方向 E 的问题定位：结合 2018 年论文《Value added utilization of by-product electric furnace ferronickel slag as construction materials: A review》的题录和引用数 185，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
