direction,rank,title,year,authors,venue,doi,url,citation_count,source_database,query
D,16,Effects of accelerated carbonation on the microstructure of Portland cement pastes containing reactive MgO,2012,H. J. Mo; Daman K. Panesar,Cement and Concrete Research,10.1016/j.cemconres.2012.02.017,https://doi.org/10.1016/j.cemconres.2012.02.017,296,OpenAlex,"""accelerated carbonation curing"" concrete|""accelerated carbonation"" cement paste curing"
D,17,Biochar as construction materials for achieving carbon neutrality,2022,Yuying Zhang; Mingjing He; Lei Wang; Jianhua Yan; Bin Ma; Xiaohong Zhu; Yong Sik Ok; Viktor Mechtcherine; Daniel C.W. Tsang,Biochar,10.1007/s42773-022-00182-x,https://doi.org/10.1007/s42773-022-00182-x,289,OpenAlex,"""carbon dioxide curing"" concrete|""carbonation curing"" recycled aggregate concrete"
D,18,Mathematical modeling of CO2 uptake by concrete during accelerated carbonation curing,2014,Sormeh Kashef-Haghighi; Yixin Shao; Subhasis Ghoshal,Cement and Concrete Research,10.1016/j.cemconres.2014.07.020,https://doi.org/10.1016/j.cemconres.2014.07.020,266,OpenAlex,"""accelerated carbonation curing"" concrete"
D,19,Carbonation Curing versus Steam Curing for Precast Concrete Production,2011,Vahid Rostami; Yixin Shao; Andrew J. Boyd,Journal of Materials in Civil Engineering,10.1061/(asce)mt.1943-5533.0000462,https://doi.org/10.1061/(asce)mt.1943-5533.0000462,258,OpenAlex,"""carbonation curing"" concrete strength"
D,20,An overview of utilizing CO2 for accelerated carbonation treatment in the concrete industry,2022,Liang Li; Min Wu,Journal of CO2 Utilization,10.1016/j.jcou.2022.102000,https://doi.org/10.1016/j.jcou.2022.102000,258,OpenAlex,"""BOF slag"" ""CO2 sequestration""|""CO2 sequestration"" concrete curing|""accelerated carbonation curing"" concrete|""carbonated slag"" cementitious material|""carbonated steel slag"" ""supplementary cementitious material""|""carbonation curing"" concrete strength|""carbonation curing"" recycled aggregate concrete|""early age carbonation"" cement paste|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""mineral carbonation"" ""cement replacement""|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""solid waste"" ""accelerated carbonation"" slag"
E,1,A review of mineral carbonation technologies to sequester CO<sub>2</sub>,2014,Aimaro Sanna; Mai Uibu; Giorgio Caramanna; Rein Kuusik; M. Mercedes Maroto‐Valer,Chemical Society Reviews,10.1039/c4cs00035h,https://doi.org/10.1039/c4cs00035h,1103,OpenAlex,"""mineral carbonation"" ""cement replacement""|""solid waste"" ""accelerated carbonation"" slag"
E,2,Future and emerging supplementary cementitious materials,2023,Ruben Snellings; Prannoy Suraneni; Jørgen Skibsted,Cement and Concrete Research,10.1016/j.cemconres.2023.107199,https://doi.org/10.1016/j.cemconres.2023.107199,484,OpenAlex,"""BOF slag"" ""CO2 sequestration""|""CO2 curing"" cementitious materials|""carbonated slag"" cementitious material|""carbonated steel slag"" ""supplementary cementitious material""|""carbonation curing"" recycled aggregate concrete|""mineral carbonation"" ""cement replacement""|""solid waste"" ""accelerated carbonation"" slag|""steel slag"" ""CO2 mineralization"""
E,3,CO2 Capture by Accelerated Carbonation of Alkaline Wastes: A Review on Its Principles and Applications,2012,Shu-Yuan Pan; E. E. Chang; Pen‐Chi Chiang,Aerosol and Air Quality Research,10.4209/aaqr.2012.06.0149,https://doi.org/10.4209/aaqr.2012.06.0149,428,OpenAlex,"""carbonated slag"" cementitious material|""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""rotating packed bed"" reactive crystallization|""solid waste"" ""accelerated carbonation"" slag"
E,4,The properties of the self-compacting concrete with fly ash and ground granulated blast furnace slag mineral admixtures,2015,H Zhao; Wei Sun; Xiaoming Wu; Bo Gao,unclear,10.1016/j.jclepro.2015.02.050,https://www.semanticscholar.org/paper/b442fed740a6aad583773a470d7b24c1594758e3,423,Semantic Scholar,"""mineral carbonation"" ""cement replacement"""
E,5,Impact of hydrated magnesium carbonate additives on the carbonation of reactive MgO cements,2013,Cise Unluer; Abir Al‐Tabbaa,Cement and Concrete Research,10.1016/j.cemconres.2013.08.009,https://doi.org/10.1016/j.cemconres.2013.08.009,328,OpenAlex,"""carbonation curing"" recycled aggregate concrete|""mineral carbonation"" ""cement replacement"""
E,6,Effects of carbonated hardened cement paste powder on hydration and microstructure of Portland cement,2018,Bao Lu; C. Shi; Jiake Zhang; Jiyun Wang,Construction and Building Materials,10.1016/j.conbuildmat.2018.07.159,https://www.semanticscholar.org/paper/3e5e1a98afaa61c8b895223029da0113c1e9fccb,322,Semantic Scholar,"""carbonated waste concrete powder"" cement"
E,7,Carbonation of steel slag and gypsum for building materials and associated reaction mechanisms,2019,Xue Wang; W. Ni; Jiajie Li; Siqi Zhang; M. Hitch; R. Pascual,Cement and Concrete Research,10.1016/j.cemconres.2019.105893,https://www.semanticscholar.org/paper/4150c266dff55cabab491c65948d07a0794308c9,259,Semantic Scholar,"""carbide slag carbonation"" cement"
E,8,An overview of utilizing CO2 for accelerated carbonation treatment in the concrete industry,2022,Liang Li; Min Wu,Journal of CO2 Utilization,10.1016/j.jcou.2022.102000,https://doi.org/10.1016/j.jcou.2022.102000,258,OpenAlex,"""BOF slag"" ""CO2 sequestration""|""CO2 sequestration"" concrete curing|""accelerated carbonation curing"" concrete|""carbonated slag"" cementitious material|""carbonated steel slag"" ""supplementary cementitious material""|""carbonation curing"" concrete strength|""carbonation curing"" recycled aggregate concrete|""early age carbonation"" cement paste|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""mineral carbonation"" ""cement replacement""|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""solid waste"" ""accelerated carbonation"" slag"
E,9,Experimental characterization of the self-healing capacity of cement based materials and its effects on the material performance: A state of the art report by COST Action SARCOS WG2,2018,Liberato Ferrara; Tim Van Mullem; C. Alonso; Paola Antonaci; Ruben Paul Borg; Estefanía Cuenca; Anthony Jefferson; P.L. Ng; Alva Peled; Marta Roig‐Flores; Mercedes Sanchez; Christof Schroefl; Pedro Serna; Didier Snoeck; Jean‐Marc Tulliani; Nele De Belie,Construction and Building Materials,10.1016/j.conbuildmat.2018.01.143,https://doi.org/10.1016/j.conbuildmat.2018.01.143,246,OpenAlex,"""carbonated steel slag"" ""supplementary cementitious material"""
E,10,"Influence of mineral admixtures on compressive strength, gas permeability and carbonation of high performance concrete",2009,Hui-sheng Shi; Biwan Xu; Xiao-chen Zhou,unclear,10.1016/j.conbuildmat.2008.08.021,https://www.semanticscholar.org/paper/97b350e41f6422f356d5178d36db163509c33fa7,244,Semantic Scholar,"""mineral carbonation"" ""cement replacement"""
E,11,Carbon Capture and Utilization by mineralization of cement pastes derived from recycled concrete,2020,Jan Skoček; Maciej Zając; Mohsen Ben Haha,Scientific Reports,10.1038/s41598-020-62503-z,https://doi.org/10.1038/s41598-020-62503-z,222,OpenAlex,"""CO2 curing"" cementitious materials|""CO2 sequestration"" concrete curing|""carbonated recycled concrete fines""|""carbonation curing"" recycled aggregate concrete|""early age carbonation"" cement paste"
E,12,Carbon sequestration of steel slag and carbonation for activating RO phase,2020,Zhimin Chen; Rui Li; Xianming Zheng; Jiaxiang Liu,Cement and Concrete Research,10.1016/j.cemconres.2020.106271,https://doi.org/10.1016/j.cemconres.2020.106271,193,OpenAlex,"""carbonated steel slag"" cement"
E,13,Value added utilization of by-product electric furnace ferronickel slag as construction materials: A review,2018,Ashish Kumer Saha; Md. Nabi Newaz Khan; Prabir Kumar Sarker,Resources Conservation and Recycling,10.1016/j.resconrec.2018.02.034,https://doi.org/10.1016/j.resconrec.2018.02.034,185,OpenAlex,"""carbonated steel slag"" ""supplementary cementitious material"""
E,14,"Surface characterization of carbonated recycled concrete fines and its effect on the rheology, hydration and strength development of cement paste",2020,Xiaowei Ouyang; Liquan Wang; Shida Xu; Yuwei Ma; Guang Ye,Cement and Concrete Composites,10.1016/j.cemconcomp.2020.103809,https://doi.org/10.1016/j.cemconcomp.2020.103809,180,OpenAlex,"""carbonated recycled concrete fines"""
E,15,"Roles of carbonated recycled fines and aggregates in hydration, microstructure and mechanical properties of concrete: A critical review",2023,Tong Zhang; Meng Chen; Yuting Wang; Mingzhong Zhang,Cement and Concrete Composites,10.1016/j.cemconcomp.2023.104994,https://doi.org/10.1016/j.cemconcomp.2023.104994,170,OpenAlex,"""CO2 curing"" cementitious materials|""carbonated recycled concrete fines""|""hydration kinetics"" cement gravity|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""rotating packed bed"" reactive crystallization|""solid waste"" ""accelerated carbonation"" slag"
E,16,Fly Ash Application as Supplementary Cementitious Material: A Review,2022,Guanlei Li; Chengke Zhou; Waqas Ahmad; Kseniia Iurevna Usanova; M. Yu. Karelina; Abdeliazim Mustafa Mohamed; Rana Khallaf,Materials,10.3390/ma15072664,https://doi.org/10.3390/ma15072664,164,OpenAlex,"""mineral carbonation"" ""cement replacement"""
E,17,CO2 Mineralization and Utilization using Steel Slag for Establishing a Waste-to-Resource Supply Chain,2017,Shu-Yuan Pan; Tai-Chun Chung; Chang-Ching Ho; Chin-Jen Hou; Yi‐Hung Chen; Pen‐Chi Chiang,Scientific Reports,10.1038/s41598-017-17648-9,https://doi.org/10.1038/s41598-017-17648-9,161,OpenAlex,"""carbonated slag"" cementitious material|""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""high-gravity carbonation"" steel slag|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""solid waste"" ""accelerated carbonation"" slag|""steel slag"" ""CO2 mineralization"""
E,18,Effect of limestone fillers on microstructure and permeability due to carbonation of cement pastes under controlled CO2 pressure conditions,2015,Q. Phung; N. Maes; D. Jacques; E. Bruneel; I. Driessche; G. Ye; G. Schutter,unclear,10.1016/j.conbuildmat.2015.02.093,https://www.semanticscholar.org/paper/c6be398979a4e11e760923f699701f1e65a42cfe,150,Semantic Scholar,"""carbonated waste concrete powder"" cement"
E,19,"Accelerated carbonation of steel slag: A review of methods, mechanisms and influencing factors",2023,Xiaoli Huang; Junfei Zhang; Lei Zhang,Construction and Building Materials,10.1016/j.conbuildmat.2023.134603,https://doi.org/10.1016/j.conbuildmat.2023.134603,147,OpenAlex,"""carbonated steel slag"" cement"
E,20,Transformation of abundant magnesium silicate minerals for enhanced CO2 sequestration,2021,Allan Scott; Christopher Oze; Vineet Shah; Nan Yang; Barney Shanks; Christopher Cheeseman; Aaron T. Marshall; Matthew J. Watson,Communications Earth & Environment,10.1038/s43247-021-00099-6,https://doi.org/10.1038/s43247-021-00099-6,143,OpenAlex,"""mineral carbonation"" ""cement replacement"""
F,1,Removal of heavy metal ions from wastewater: a comprehensive and critical review,2021,Naef A.A. Qasem; Ramy H. Mohammed; Dahiru U. Lawal,npj Clean Water,10.1038/s41545-021-00127-0,https://doi.org/10.1038/s41545-021-00127-0,2029,OpenAlex,"""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" gas liquid solid reaction"
F,2,A Review of CO2 Capture by Absorption and Adsorption,2012,Cheng‐Hsiu Yu; Chih‐Hung Huang; Chung‐Sung Tan,Aerosol and Air Quality Research,10.4209/aaqr.2012.05.0132,https://doi.org/10.4209/aaqr.2012.05.0132,1698,OpenAlex,"""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" gas liquid solid reaction|""process intensified"" carbonation reactor|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate"
F,3,Strategies for mitigation of climate change: a review,2020,Samer Fawzy; Ahmed I. Osman; John Doran; David W. Rooney,Environmental Chemistry Letters,10.1007/s10311-020-01059-w,https://doi.org/10.1007/s10311-020-01059-w,1428,OpenAlex,"""CO2 sequestration"" concrete curing|""process intensification"" ""mineral carbonation""|""process intensification"" carbonation slag|""process intensified"" carbonation reactor"
F,4,Post-combustion CO2 capture with chemical absorption: A state-of-the-art review,2010,Meihong Wang; Adekola Lawal; P.L. Stephenson; J. Sidders; Colin Ramshaw,Process Safety and Environmental Protection,10.1016/j.cherd.2010.11.005,https://doi.org/10.1016/j.cherd.2010.11.005,1414,OpenAlex,"""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" gas liquid solid reaction"
F,5,Bioconversion of lignocellulose: inhibitors and detoxification,2013,Leif J. Jönsson; Björn Alriksson; Nils‐Olof Nilvebrant,Biotechnology for Biofuels,10.1186/1754-6834-6-16,https://doi.org/10.1186/1754-6834-6-16,1382,OpenAlex,"""high gravity"" gas liquid solid reaction"
F,6,Innovation in Layer-by-Layer Assembly,2016,Joseph J. Richardson; Jiwei Cui; Mattias Björnmalm; Julia A. Braunger; Hirotaka Ejima; Frank Caruso,Chemical Reviews,10.1021/acs.chemrev.6b00627,https://doi.org/10.1021/acs.chemrev.6b00627,883,OpenAlex,"""high gravity"" gas liquid solid reaction"
F,7,Carbon Capture and Utilization Update,2017,Ahmed Al‐Mamoori; Anirudh Krishnamurthy; Ali A. Rownaghi; Fateme Rezaei,Energy Technology,10.1002/ente.201600747,https://doi.org/10.1002/ente.201600747,688,OpenAlex,"""process intensification"" ""mineral carbonation""|""process intensified"" carbonation reactor"
F,8,Bioethanol Production from Renewable Raw Materials and its Separation and Purification: a Review,2018,Arijana Bušić; Nenad Marđetko; Semjon Kundas; Galina Morzak; Halina Belskaya; Mirela Ivančić Šantek; Draženka Komes; Srđan Novak; Božidar Šantek,Food Technology and Biotechnology,10.17113/ftb.56.03.18.5546,https://doi.org/10.17113/ftb.56.03.18.5546,594,OpenAlex,"""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" gas liquid solid reaction"
F,9,"High drug-loading nanomedicines: progress, current status, and prospects",2017,Shihong Shen; Youshen Wu; Yongchun Liu; Daocheng Wu,International Journal of Nanomedicine,10.2147/ijn.s132780,https://doi.org/10.2147/ijn.s132780,593,OpenAlex,"""high gravity"" gas liquid solid reaction"
F,10,New Spectral Types L and T,2005,J. Davy Kirkpatrick,Annual Review of Astronomy and Astrophysics,10.1146/annurev.astro.42.053102.134017,https://doi.org/10.1146/annurev.astro.42.053102.134017,559,OpenAlex,"""high gravity"" gas liquid solid reaction"
F,11,"Biomass-based chemical looping technologies: the good, the bad and the future",2017,Xiao Zhao; Hui Zhou; Vineet Singh Sikarwar; Ming Zhao; Ah‐Hyung Alissa Park; Paul S. Fennell; Laihong Shen; Liang‐Shih Fan,Energy & Environmental Science,10.1039/c6ee03718f,https://doi.org/10.1039/c6ee03718f,540,OpenAlex,"""process intensification"" carbonation slag|""process intensified"" carbonation reactor"
F,12,"Natural deep eutectic solvents for lignocellulosic biomass pretreatment: Recent developments, challenges and novel opportunities",2018,Alok Satlewal; Ruchi Agrawal; Samarthya Bhagia; Joshua Sangoro; Arthur J. Ragauskas,Biotechnology Advances,10.1016/j.biotechadv.2018.08.009,https://doi.org/10.1016/j.biotechadv.2018.08.009,524,OpenAlex,"""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" gas liquid solid reaction"
F,13,Chemical looping beyond combustion – a perspective,2020,Xing Zhu; Qasim Imtiaz; Felix Donat; Christoph R. Müller; Fanxing Li,Energy & Environmental Science,10.1039/c9ee03793d,https://doi.org/10.1039/c9ee03793d,516,OpenAlex,"""process intensified"" carbonation reactor"
F,14,CO2 mineral carbonation using industrial solid wastes: A review of recent developments,2021,Weizao Liu; Liumei Teng; Sohrab Rohani; Zhifeng Qin; Bin Zhao; Chunbao Xu; Shan Ren; Qingcai Liu; Bin Liang,Chemical Engineering Journal,10.1016/j.cej.2021.129093,https://doi.org/10.1016/j.cej.2021.129093,464,OpenAlex,"""process intensification"" ""mineral carbonation""|""steel slag"" ""CO2 mineralization"""
F,15,Synthesis of Nanoparticles with Novel Technology: High-Gravity Reactive Precipitation,2000,Jian‐Feng Chen; Yuhong Wang; Fen Guo; Xinming Wang; Chong Zheng,Industrial & Engineering Chemistry Research,10.1021/ie990549a,https://doi.org/10.1021/ie990549a,455,OpenAlex,"""high gravity"" gas liquid solid reaction"
F,16,Outlook of carbon capture technology and challenges,2018,Tabbi Wilberforce; Ahmad Baroutaji; Bassel Soudan; Abdul Hai Alami; A.G. Olabi,The Science of The Total Environment,10.1016/j.scitotenv.2018.11.424,https://doi.org/10.1016/j.scitotenv.2018.11.424,443,OpenAlex,"""process intensification"" carbonation slag|""process intensified"" carbonation reactor"
F,17,Emerging CO2 capture systems,2015,J.C. Abánades; B. Arias; Anders Lyngfelt; Tobias Mattisson; Dianne E. Wiley; Hongshou Li; Minh T. Ho; Enzo Mangano; Stefano Brandani,International journal of greenhouse gas control,10.1016/j.ijggc.2015.04.018,https://doi.org/10.1016/j.ijggc.2015.04.018,438,OpenAlex,"""process intensification"" ""mineral carbonation""|""process intensified"" carbonation reactor"
F,18,CO2 Capture by Accelerated Carbonation of Alkaline Wastes: A Review on Its Principles and Applications,2012,Shu-Yuan Pan; E. E. Chang; Pen‐Chi Chiang,Aerosol and Air Quality Research,10.4209/aaqr.2012.06.0149,https://doi.org/10.4209/aaqr.2012.06.0149,428,OpenAlex,"""carbonated slag"" cementitious material|""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" ""mineral carbonation"" slag|""high gravity"" carbonation steel slag|""high gravity"" gas liquid solid reaction|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" carbonation steel slag|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate|""rotating packed bed"" reactive crystallization|""solid waste"" ""accelerated carbonation"" slag"
F,19,Process intensification for post-combustion CO2 capture with chemical absorption: A critical review,2015,Meihong Wang; Atuman Samaila Joel; Colin Ramshaw; Dag A. Eimer; Nuhu M. Musa,Applied Energy,10.1016/j.apenergy.2015.08.083,https://doi.org/10.1016/j.apenergy.2015.08.083,420,OpenAlex,"""rotating packed bed"" reactive crystallization"
F,20,Photocatalytic Degradation of Organic and Inorganic Pollutants to Harmless End Products: Assessment of Practical Application Potential for Water and Air Cleaning,2023,Pavel Afanasiev; Crina Anastasescu; Razvan State; Anca Vasile; Florica Papa; Ioan Balint,Catalysts,10.3390/catal13020380,https://doi.org/10.3390/catal13020380,344,OpenAlex,"""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" gas liquid solid reaction"
